#AOR	epoch	channel	RAtopL	DECtopL	RAbotL	DECbotL	RAbotR	DEbotR	RAtopR	DECtopR
1	1	1	331.978417498	-1.16523473166	331.305644825	0.915836199046	331.683548085	1.03907778651	332.361260182	-1.03988394655
1	1	2	331.940462546	-1.05798456542	331.268233757	1.02223148683	331.645891548	1.14575672466	332.3226652	-0.932838607543
1	2	1	331.928705223	-1.14769771274	331.251780292	0.931676418384	331.629106342	1.05561637409	332.311646972	-1.02159151486
1	2	2	331.890543345	-1.04041582952	331.214144747	1.037922148	331.591430035	1.16205129684	332.272733531	-0.914714088279
2	1	1	332.181923931	1.19579188253	333.130890537	-0.775086812673	332.419499487	-1.11311036166	331.470572192	0.85648580234
2	1	2	332.233678094	1.09452467396	333.181998618	-0.875970330627	332.470858159	-1.2137994787	331.52312945	0.755499784655
2	2	1	332.127805254	1.21213431232	333.080322953	-0.757029246634	332.36937182	-1.09635389906	331.417036325	0.871599410097
2	2	2	332.179802826	1.11091085192	333.131693063	-0.857859367421	332.420951858	-1.19689969518	331.469643234	0.770675590264
3	1	1	332.817954595	1.16428053531	333.769057129	-0.809475270157	333.199185019	-1.07954577752	332.249174344	0.889557252354
3	1	2	332.869885191	1.0630331178	333.820105604	-0.909314739623	333.250770311	-1.18016730913	332.301683815	0.788667502019
3	2	1	332.764634511	1.18050637045	333.71785445	-0.792216063768	333.148196779	-1.06273313318	332.196074376	0.905713516431
3	2	2	332.816677778	1.0793508863	333.768976142	-0.892015927285	333.199853942	-1.16330785522	332.248763633	0.80475884382
4	1	1	333.48822512	1.16428829489	334.438734269	-0.809932431386	333.868659163	-1.07957832348	332.919321024	0.890214790325
4	1	2	333.540148459	1.06304375946	334.489954162	-0.910813433697	333.920153597	-1.18029127045	332.971832449	0.789292635536
4	2	1	333.435256632	1.18076584366	334.387475286	-0.792456658823	333.817535912	-1.06276872852	332.866561518	0.906246333769
4	2	2	333.487292436	1.07954161337	334.438550449	-0.892317732738	333.869135324	-1.16338427882	332.919238517	0.805247967612
